OID,PlaceName,Prop_Tax,Tax_Rev
567,Colton,3799672,27668304
568,Colusa,854043,3596526
569,Commerce,1945839,73867877
570,Compton,4347052,76502736
571,Concord,15656025,105769889
572,Corcoran,284320,6007838
573,Corning,595322,6549952
574,Corona,27950394,109101408
575,Coronado,27057433,52117931
576,Corte Madera,4783635,23584048
577,Costa Mesa,29225255,128761666
578,Cotati,573650,7857470
579,Covina,6610025,36449120
580,Crescent City,137438,4043465
581,Cudahy,222827,7853178
582,Culver City,5267829,95366840
583,Cupertino,16534517,69533770
584,Cypress,9564290,36030183
585,Daly City,22248816,74518434
586,Dana Point,8810397,36759936
587,Danville,10170146,25268211
588,Davis,13397372,56269654
589,Del Mar,5662270,15395012
590,Del Rey Oaks,474237,3473750
591,Delano,2646317,23667186
592,Desert Hot Springs,843093,16364018
593,Diamond Bar,5226999,23546671
594,Dinuba,706489,17500962
595,Dixon,4132510,21201443
596,Dorris,93834,217553
597,Dos Palos,343855,1577804
598,Downey,15954490,84345016
599,Duarte,1398539,12511227
600,Dublin,35861087,98379619
601,Dunsmuir,302762,1018569
602,East Palo Alto,7190648,29216213
603,Eastvale,8078604,26786941
604,El Cajon,8232363,68145967
605,El Centro,3725678,33651858
606,El Cerrito,7973793,27255464
607,El Monte,6782920,76999412
608,El Paso De Robles,6479122,40024186
609,El Segundo,8365637,67932407
610,Elk Grove,12857911,72576109
611,Emeryville,1619329,47275831
612,Encinitas,39952979,68018099
613,Escalon,1141915,3941791
614,Escondido,13178444,82912137
615,Etna,105364,290482
616,Eureka,2817979,26251629
617,Exeter,1070771,4561902
618,Fairfax,2727627,9510276
619,Fairfield,14990439,104521152
620,Farmersville,360680,3601696
621,Ferndale,156581,758917
622,Fillmore,564735,6175434
623,Firebaugh,210221,3587049
624,Folsom,26669898,81244989
625,Fontana,27033048,129382610
626,Fort Bragg,415465,7112406
627,Fort Jones,84762,316233
628,Fortuna,436545,6318662
629,Foster City,NULL,49452291
630,Fountain Valley,11642087,52008609
631,Fowler,712942,4169524
